InstanceCount, QoS, Delay, Subscription QoS, Rate of messages, Message Loss, Out of order messages, median inter message gaps, $SYS/broker/load/messages/received/1min, $SYS/broker/load/messages/sent/1min, $SYS/broker/clients/connected, $SYS/broker/load/publish/dropped/1min
4,0,1,2,42677.8,-Infinity,0.00187450208538357,2,206868.73,375830.22,7,0.05
4,0,2,2,2709.0,-Infinity,0.029531192321889995,2,270705.40,509818.66,7,0.05
4,0,4,2,1391.4,-Infinity,0.057496047146758655,2,236481.11,446648.36,7,0.05
4,1,0,2,1765.0,-Infinity,0.0453257790368272,2,200868.43,379816.19,7,0.05
4,1,1,2,1820.2,-Infinity,0.04395121415229096,2,193425.64,355498.43,7,0.05
4,1,2,2,1196.2,-Infinity,0.06686726847208291,2,175216.42,317233.45,7,0.05
4,1,4,2,848.2,-Infinity,0.09431737797689224,2,155808.78,279003.43,7,0.05
4,2,0,2,1309.0,-Infinity,0.06111535523300229,2,163317.51,277579.33,7,0.05
4,2,1,2,1450.2,-Infinity,0.05516480485450283,2,164924.19,269700.10,7,0.05
4,2,2,2,941.0,-Infinity,0.08501594048884166,2,149311.01,240535.18,7,0.05
4,2,4,2,659.6,-Infinity,0.1212856276531231,2,149311.01,240535.18,7,0.05
5,0,0,2,8529.4,-Infinity,0.01172415410228152,2,291327.53,538455.84,7,0.05
5,0,1,2,45945.8,-Infinity,0.0021764775017520644,2,291327.53,538455.84,7,0.05
5,0,2,2,3287.0,-Infinity,0.0304228780042592,2,321174.91,605519.68,7,0.05
5,0,4,2,1688.8,-Infinity,0.059213642823306496,2,279226.54,527778.63,7,0.05
5,1,0,2,2006.6,-Infinity,0.0498355427090601,2,242992.86,457713.03,7,0.05
5,1,1,2,2371.4,-Infinity,0.042169182761238086,2,224170.27,413829.48,7,0.05
5,1,2,2,1545.4,-Infinity,0.06470816617057072,2,200891.44,365909.55,7,0.05
5,1,4,2,1056.6,-Infinity,0.09464319515426842,2,177682.77,320274.13,7,0.05
5,2,0,2,1485.4,-Infinity,0.06732193348592971,2,187902.21,320292.47,7,0.05
5,2,1,2,1599.6,-Infinity,0.06251562890722681,2,190098.95,311537.26,7,0.05
5,2,2,2,791.6,-Infinity,0.12632642748863063,2,167461.91,271626.32,7,0.05
5,2,4,2,633.0,-Infinity,0.1579778830963665,2,167461.91,271626.32,7,0.05
